timestamp,ip,path,status_code,duration_ms
2024-10-21 08:01:12,192.168.1.101,/api/users,200,45
2024-10-21 08:01:15,192.168.1.102,/api/workspaces,200,32
2024-10-21 08:02:03,192.168.1.101,/api/workspaces/1/projects,200,58
2024-10-21 08:02:11,192.168.1.103,/api/healthz,200,5
2024-10-21 08:03:22,192.168.1.102,/api/tasks,404,12
2024-10-21 08:04:01,192.168.1.101,/api/workspaces/1/files,200,120
2024-10-21 08:04:55,192.168.1.104,/api/login,200,88
2024-10-21 08:05:30,192.168.1.103,/api/workspaces,500,0
2024-10-21 08:06:12,192.168.1.101,/api/workspaces/1/artifacts,200,76
2024-10-21 08:07:01,192.168.1.102,/api/healthz,200,4
2024-10-21 08:08:33,192.168.1.105,/api/users,401,8
2024-10-21 08:09:15,192.168.1.101,/api/workspaces/1/upload,200,350
2024-10-21 08:10:02,192.168.1.103,/api/workspaces,200,41
2024-10-21 08:11:44,192.168.1.102,/api/workspaces/2/projects,200,52
2024-10-21 08:12:00,192.168.1.104,/api/healthz,200,5
2024-10-21 08:13:21,192.168.1.101,/api/workspaces/1/files/readme.md,200,18
2024-10-21 08:14:08,192.168.1.106,/api/login,200,92
2024-10-21 08:15:33,192.168.1.102,/api/tasks,200,38
2024-10-21 08:16:11,192.168.1.103,/api/workspaces/1/artifacts,500,0
2024-10-21 08:17:02,192.168.1.101,/api/healthz,200,3
